timestamp,device_ip,log_id,message,date
1-08-06 09:40:53,10.1.1.16,446477.0,*Aug  6 09:52:36.986: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: divakard] [Source: 10.110.5.157] [localport: 22] at 12:52:36 KSA Wed Aug 6 2025,0001-08-06
1-08-06 09:41:32,10.1.1.16,446478.0,*Aug  6 09:53:15.736: %IOSXE_INFRA-6-PROCPATH_CLIENT_HOG: IOS shim client 'chasfs' has taken 524 msec (runtime: 520 msec) to process a 'stack chasfs fd' message,0001-08-06
1-08-06 09:41:34,10.1.1.16,446479.0,*Aug  6 09:53:18.002: %IOSXE_INFRA-6-PROCPATH_CLIENT_HOG: IOS shim client 'chasfs' has taken 828 msec (runtime: 828 msec) to process a 'stack chasfs fd' message,0001-08-06
1-08-06 09:42:25,10.1.1.16,446480.0,*Aug  6 09:54:09.249: %IOSXE_INFRA-6-PROCPATH_CLIENT_HOG: IOS shim client 'chasfs' has taken 400 msec (runtime: 400 msec) to process a 'stack chasfs fd' message,0001-08-06
1-08-06 09:43:18,10.1.1.16,446481.0,*Aug  6 09:55:01.527: %IOSXE_INFRA-6-PROCPATH_CLIENT_HOG: IOS shim client 'chasfs' has taken 1004 msec (runtime: 980 msec) to process a 'stack chasfs fd' message,0001-08-06
1-08-06 09:44:10,10.1.1.16,446482.0,*Aug  6 09:55:52.584: %IOSXE_INFRA-6-PROCPATH_CLIENT_HOG: IOS shim client 'chasfs' has taken 372 msec (runtime: 372 msec) to process a 'stack chasfs fd' message,0001-08-06
1-08-06 09:45:01,10.1.1.16,446483.0,*Aug  6 09:56:44.862: %IOSXE_INFRA-6-PROCPATH_CLIENT_HOG: IOS shim client 'chasfs' has taken 516 msec (runtime: 516 msec) to process a 'stack chasfs fd' message,0001-08-06
1-08-06 09:45:55,10.1.1.16,446484.0,*Aug  6 09:57:38.374: %IOSXE_INFRA-6-PROCPATH_CLIENT_HOG: IOS shim client 'chasfs' has taken 280 msec (runtime: 280 msec) to process a 'stack chasfs fd' message,0001-08-06
1-08-06 09:46:15,10.1.1.16,446485.0,"*Aug  6 09:57:59.089: %SYS-6-TTY_EXPIRE_TIMER: (exec timer expired, tty 2 (10.110.5.157)), user divakard",0001-08-06
1-08-06 09:46:15,10.1.1.16,446486.0,*Aug  6 09:57:59.090: %SYS-6-LOGOUT: User divakard has exited tty session 2(10.110.5.157),0001-08-06
